target,BrandName,Deatils,Sizes,MRP,SellPrice,Discount,Category
25,life,solid round neck rayon womens woven top - white,"Size:Large,Medium,Small,X-Large,X-Small",-5290,649,50% off,Westernwear-Women
0,cover story,regular fit knee length cotton poly spandex womens casual skirt - pink,"Size:26,28,30,32,34",-5298,690,47% off,Westernwear-Women
1,adidas,solid slim fit cotton womens casual wear track pants - black,"Size:Medium,Small,X-Large,X-Small",-5306,1399,30% off,Westernwear-Women
2,levis,solid round neck cotton womens casual t-shirt - black,"Size:Large,Medium,Small,X-Small",-5315,1899,Nan,Westernwear-Women
3,faballey,embellished square neck polyester blend womens regular dresses - green,"Size:Large,Medium,X-Large",-5323,1680,20% off,Westernwear-Women
4,zink london,printed cotton round neck womens t-shirt - white,"Size:Large,Medium,Small,X-Large",-5331,399,69% off,Westernwear-Women
5,life,solid polyester round neck womens regular fit top - navy,"Size:Large,Medium,Small,X-Large,X-Small",-5339,599,50% off,Westernwear-Women
6,forever new,printed polyester round neck womens dress - green,"Size:6,8,12",-5348,5880,30% off,Westernwear-Women
7,and,solid polyester regular fit womens pants - black,"Size:28,30,32,36,38",-5356,1979,10% off,Westernwear-Women
8,vero moda,solid short sleeves viscose womens regular length jumpsuit - purple,"Size:Large,Medium,Small,X-Large,X-Small",-5364,1749,50% off,Westernwear-Women
9,allen solly,checks polyester regular neck womens blazer - ltgrey,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",-5372,2799,20% off,Westernwear-Women
10,indya,shraddha kapoor for indya oxblood chikankari angrakha maxi tunic - maroon,"Size:Large,Medium,Small,X-Small,XX-Large",-5381,2000,50% off,Westernwear-Women
11,stop,solid viscose regular neck womens top - off white,"Size:Large,Medium,Small,X-Large,XX-Large",-5389,499,50% off,Westernwear-Women
12,latin quarte ,dyed round neck linen womens regular dress - natural,"Size:S,M,L,X-Small",-5397,799,68% off,Westernwear-Women
13,sera,printed round neck viscose womens fit and flare dress - black,Size:X-Large,-5406,747,50% off,Westernwear-Women
14,stop,solid polyester blend round neck womens regular top - black,"Size:Large,Medium,Small,X-Large",-5414,499,50% off,Westernwear-Women
15,stop,striped round neck polyester womens regular top - navy,"Size:Large,Medium,Small,XX-Large",-5422,499,50% off,Westernwear-Women
16,fratini,printed cotton blend round neck womens top - green,"Size:Large,Medium,Small,X-Large,XX-Large",-5430,499,50% off,Westernwear-Women
17,fratini,embellished viscose blend round neck womens t-shirt - pink,"Size:Large,Medium,Small,X-Large,XX-Large",-5439,499,50% off,Westernwear-Women
18,cover story,printed recycle polyester womens dress - pink,"Size:Large,Medium,Small,X-Large",-5447,1494,40% off,Westernwear-Women
19,faballey,solid georgette key hole neck womens regular top - green,"Size:Large,Medium,Small,X-Large,X-Small",-5455,1280,20% off,Westernwear-Women
20,allen solly,checks polyester regular fit womens trouse  - mid blue,"Size:34,36",-5463,1499,35% off,Westernwear-Women
21,only,tie dye and batik cotton round neck womens t-shirt - purple,"Size:Large,Medium,Small,X-Large,X-Small",-5472,1019,40% off,Westernwear-Women
22,Nan,Nan,Nan,-5480,Nan,Nan,Westernwear-Women
23,zink london,printed polyester off shoulder womens dress - natural,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",-5488,1499,40% off,Westernwear-Women
24,forever new,floral viscose v neck womens dress - print,"Size:6,8,10,12,14",-5497,4340,30% off,Westernwear-Women
25,juniper,womens off white rayon flex yoke embroidered asymmetric tunic - off white,"Size:Large,Medium,Small,X-Large",-5505,999,50% off,Westernwear-Women
0,only,stripes polyester round neck womens t-shirt - light blue,"Size:Large,Medium,Small,X-Large,X-Small",-5513,1079,40% off,Westernwear-Women
1,and,solid polyester collar neck womens top - brown,"Size:10,12,14,16",-5521,1234,35% off,Westernwear-Women
2,rare,printed sweetheart neck polyester womens fit and flare dress - blue,"Size:Large,Medium,X-Small",-5530,999,60% off,Westernwear-Women
3,cover story,solid viscose round neck womens top - rust,"Size:Large,Medium,Small,X-Small",-5538,1603,30% off,Westernwear-Women
4,zink london,textured cotton collared womens dress - coral,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",-5546,2099,40% off,Westernwear-Women
5,altlife,solid polyester blend ankle length womens tights - wine,"Size:28,30,32,34,36",-5554,649,50% off,Westernwear-Women
6,madame,solid cotton off shoulder womens maxi dress - mustard,"Size:Large,Medium,Small,X-Large,XX-Large",-5563,1739,40% off,Westernwear-Women
7,kraus,flared fit full length cotton blend womens jeans - blue,"Size:28,30,32,34,36",-5571,1256,30% off,Westernwear-Women
8,altlife,regular fit thigh length cotton womens active wear shorts - black,"Size:28,30,32,34,36",-5579,249,50% off,Westernwear-Women
9,fratini,solid band collar polyester womens woven top - green,"Size:Large,Medium,Small,X-Large,XX-Large",-5587,499,50% off,Westernwear-Women
10,zink london,floral cotton sleeveless womens jumpsuit - white,"Size:Large,Medium,X-Large",-5596,1249,50% off,Westernwear-Women
11,only,solid rayon nylon flared fit womens casual pants - black,"Size:Large,Medium,Small,X-Large,X-Small",-5604,1999,20% off,Westernwear-Women
12,kraus,skinny fit full length cotton womens jeans - light blue,"Size:28,30,32,36",-5612,947,50% off,Westernwear-Women
13,rare,half sleeves regular fit womens casual dress - black,Size:Large,-5621,879,60% off,Westernwear-Women
14,only,denim long sleeves cotton womens cropped jacket - natural,"Size:Large,Medium,Small,X-Large,X-Small",-5629,3199,20% off,Westernwear-Women
15,stop,solid collar neck cotton blend womens formal wear shirt - black,"Size:Large,Medium,Small,X-Large,XX-Large",-5637,449,50% off,Westernwear-Women
16,sera,floral sweetheart neck polyester womens regular dress - red,"Size:Large,Medium,Small",-5645,999,50% off,Westernwear-Women
17,stop,solid polyester tailored fit womens trouse  - sand,"Size:28,30,32,34,36",-5654,1499,Nan,Westernwear-Women
18,life,printed polyester blend round neck womens regular t-shirt - black,"Size:Large,Medium,Small,X-Large,X-Small",-5662,399,50% off,Westernwear-Women
19,forever new,floral linen square neck womens dress - print,"Size:6,8,10,14",-5670,5700,25% off,Westernwear-Women
20,adidas,solid cotton round neck womens t-shirt - pink,"Size:Large,Medium,Small,X-Large,X-Small",-5678,799,50% off,Westernwear-Women
21,altlife,solid polyester blend ankle length womens tights - old rose,"Size:28,30,32,34,36",-5687,649,50% off,Westernwear-Women
22,Nan,Nan,Nan,-5695,Nan,Nan,Westernwear-Women
23,madame,mid wash denim straight fit womens jeans - navy,"Size:26,28,30,32,34,36",-5703,1739,40% off,Westernwear-Women
24,rare,solid polyester blend womens regular top - white,"Size:Large,Medium,Small,X-Large",-5712,674,55% off,Westernwear-Women
25,only,stripes cotton womens t-shirt - white,"Size:Large,Medium,Small,X-Large,X-Small",-5720,1379,40% off,Westernwear-Women
0,zink london,printed polyester round neck womens top - blue,"Size:Large,Medium,Small,X-Large",-5728,839,40% off,Westernwear-Women
1,fratini,women solid woven top - red,"Size:Large,Small,X-Small",-5736,399,50% off,Westernwear-Women
2,life,printed viscose v neck womens regular top - black,"Size:Large,Medium,Small,X-Large,X-Small",-5745,499,50% off,Westernwear-Women
3,levis,relaxed fit regular length cotton womens jeans - indigo,"Size:26,28,32,34",-5753,3199,Nan,Westernwear-Women
4,zink london,printed polyester round neck womens top - off white,"Size:Large,Medium,Small,X-Small",-5761,899,40% off,Westernwear-Women
5,and,regular fit polyester womens formal pants - natural,"Size:26,28,30,32,34",-5769,2499,Nan,Westernwear-Women
6,allen solly,printed polyester cotton round neck womens regular top - navy,"Size:Large,Medium,Small,X-Large",-5778,1019,40% off,Westernwear-Women
7,rare,stripes polyester boat neck womens regular top - red,"Size:Large,X-Large",-5786,584,55% off,Westernwear-Women
8,adidas,printed polyester crew neck womens t-shirt - black,"Size:Medium,Small,X-Large,X-Small",-5794,1049,30% off,Westernwear-Women
9,life,printed cotton slub round neck womens regular top - blue,"Size:Large,Medium,Small,X-Large,X-Small",-5803,349,50% off,Westernwear-Women
10,life,solid tencel round neck womens regular top - blue,"Size:Large,Medium,Small,X-Large,X-Small",-5811,599,50% off,Westernwear-Women
11,van heusen,solid regular fit polyester womens formal pants - navy,"Size:26,28,32",-5819,1499,32% off,Westernwear-Women
12,allen solly,solid v-neck polyester womens fit and flare dress - grey,"Size:Large,Medium,Small,X-Large,XX-Large",-5827,1679,40% off,Westernwear-Women
13,fratini,solid cotton blend square neck womens regular top - chocolate,"Size:Large,Medium,Small,X-Large,XX-Large",-5836,999,Nan,Westernwear-Women
14,spykar,regular fit regular cotton lycra womens jeans - black,"Size:26,28,30,32,34,36",-5844,1329,30% off,Westernwear-Women
15,latin quarte ,printed polyester womens regular dress - ivory,"Size:S,M,L,XL,XX-Large",-5852,2899,Nan,Westernwear-Women
16,forever new,solid regular fit polyester womens trouse  - blush,"Size:6,8,14,16",-5860,2730,35% off,Westernwear-Women
17,life,printed viscose collar neck womens regular top - off white,"Size:Large,Medium,Small,X-Large,X-Small",-5869,599,50% off,Westernwear-Women
18,only,placement print cotton organic round neck womens t-shirt - pink,"Size:Large,Medium,Small,X-Large,X-Small",-5877,779,40% off,Westernwear-Women
19,life,regular fit regular length cotton lycra womens jeans - midstone,"Size:26,28,30,32,34",-5885,499,50% off,Westernwear-Women
20,van heusen,solid polyester blend regular fit womens trouse  - red,"Size:26,28,30,32",-5894,799,47% off,Westernwear-Women
21,kraus,wide fit ankle length cotton womens jeans - light blue,"Size:28,30,32,34",-5902,1116,30% off,Westernwear-Women
22,Nan,Nan,Nan,-5910,Nan,Nan,Westernwear-Women
23,stop,printed regular neck cotton womens formal shirt - powder blue,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",-5918,899,Nan,Westernwear-Women
24,reebok,solid regular fit polyester womens active wear tights - black,"Size:Large,Medium,Small,X-Large,X-Small",-5927,999,50% off,Westernwear-Women
25,van heusen,solid polyester square neck womens casual jacket - pink,"Size:Large,Medium,Small,X-Large,X-Small",-5935,1499,67% off,Westernwear-Women
0,and,jacquard polyester round neck womens work wear jacket - black mix,"Size:8,10,14",-5943,999,50% off,Westernwear-Women
1,adidas,regular fit polyester womens active wear tights - black,"Size:Large,Medium,Small,X-Large,X-Small",-5951,1399,50% off,Westernwear-Women
2,and,floral linen square neck womens straight top - pink,"Size:8,10,12,14,16,18",-5960,1839,20% off,Westernwear-Women
3,latin quarte ,dyed collar neck rayon womens regular dress - black,"Size:S,L",-5968,799,65% off,Westernwear-Women
4,fratini,printed collar neck viscose womens regular dress - navy,"Size:Large,Medium,Small",-5976,749,50% off,Westernwear-Women
5,levis,skinny fit regular length cotton womens jeans - indigo,"Size:26,28,30,32,34",-5984,3399,Nan,Westernwear-Women
6,kraus,clean look cotton wide fit womens jeans - blue,"Size:28,30,32,34,36",-5993,1435,10% off,Westernwear-Women
7,zink london,solid v neck viscose blend womens a-line dress - pink,"Size:Medium,Small,X-Large,X-Small",-6001,1499,40% off,Westernwear-Women
8,van heusen,womens solid formal shirt - white,"Size:Large,Medium,Small,X-Large,X-Small",-6009,999,33% off,Westernwear-Women
9,life,solid v-neck viscose womens regular top - blue,"Size:Large,Medium,Small,X-Large,X-Small",-6018,599,50% off,Westernwear-Women
10,kraus,skinny fit full length cotton womens jeans - blue,"Size:28,30,32,34,36",-6026,947,50% off,Westernwear-Women
11,madame,solid sleeveless poly blend womens full length jumpsuit - indigo,"Size:Large,Medium,Small",-6034,1979,40% off,Westernwear-Women
12,infuse,printed polyester round neck womens regular fit woven top - off white,"Size:Large,Medium,Small,X-Large,XX-Large",-6042,319,60% off,Westernwear-Women
13,allen solly,printed polyester cotton round neck womens regular top - navy,"Size:Medium,Small",-6051,1019,40% off,Westernwear-Women
14,zink london,stripes polyester round neck womens midi dress - rust,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",-6059,1499,40% off,Westernwear-Women
15,and,printed viscose round neck womens top - blue mix light,"Size:8,10,12,14,16,18",-6067,1449,50% off,Westernwear-Women
16,altlife,printed cotton round neck womens active wear t-shirt - berry,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",-6075,199,50% off,Westernwear-Women
17,emblaze,solid sweetheart neck viscose womens regular dress - red,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",-6084,5500,Nan,Westernwear-Women
18,life,solid blended v neck womens top - sage,"Size:Large,Medium,Small,X-Large,X-Small",-6092,649,50% off,Westernwear-Women
19,infuse,printed rayon collar neck womens regular fit dress - red,"Size:Large,Medium,Small,X-Large,XX-Large",-6100,519,60% off,Westernwear-Women
20,zink london,solid polyester womens straight fit top - green,"Size:Large,Medium,X-Large,X-Small,XX-Large",-6109,499,69% off,Westernwear-Women
21,zink london,floral polyester round neck womens straight top - off white,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",-6117,699,50% off,Westernwear-Women
22,Nan,Nan,Nan,-6125,Nan,Nan,Westernwear-Women
23,insense,printed regular neck polyester womens pullover - charcoal,"Size:M/L,XL/XXL,XS/S",-6133,499,50% off,Westernwear-Women
24,zink london,textured polyester round neck womens straight top - maroon,Size:Small,-6142,959,40% off,Westernwear-Women
25,life,skinny fit regular length cotton lycra womens jeans - ice,"Size:26,28,30,32,34,36",-6150,499,50% off,Westernwear-Women
0,levis,solid collared neck cotton elastane womens casual jacket - indigo,"Size:Large,Medium,Small,X-Small",-6158,3599,Nan,Westernwear-Women
1,fratini,printed collar neck viscose womens regular dress - wine,"Size:Large,Medium,Small",-6166,749,50% off,Westernwear-Women
2,life,printed square neck viscose womens regular dress - red,"Size:Large,Medium,Small,X-Large,X-Small",-6175,749,50% off,Westernwear-Women
3,zink london,printed rayon round neck womens peplum top - black,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",-6183,499,69% off,Westernwear-Women
4,madame,checks polyester lapel collar womens shirt - dusty pink,"Size:Large,Medium,Small,X-Large",-6191,1259,30% off,Westernwear-Women
5,fratini,printed regular fit chiffon womens maxi dress - pink,"Size:Large,Medium,Small,X-Large,XX-Large",-6200,2199,Nan,Westernwear-Women
6,stop,solid collar neck cotton blend womens regular top - white,"Size:Large,X-Large",-6208,499,50% off,Westernwear-Women
7,insense,half sleeves night wear womens t-shirt - blush,"Size:Large,Medium,Small,X-Small",-6216,199,50% off,Westernwear-Women
8,allen solly,printed cotton mens face mask - pack of 3 - white,Nan,-6224,249,58% off,Westernwear-Women
9,life,solid denim womens regular length dungarees - black,"Size:Large,Medium,Small,X-Large,X-Small",-6233,1149,50% off,Westernwear-Women
10,faballey,floral square neck georgette womens maxi dress - olive,"Size:Large,Medium,Small,X-Large,X-Small",-6241,2160,20% off,Westernwear-Women
11,madame,floral polyester v neck womens regular top - black,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large",-6249,1399,30% off,Westernwear-Women
12,faballey,embellished halter neck georgette womens maxi dress - purple,"Size:Large,Medium,Small,X-Large,X-Small",-6257,2360,20% off,Westernwear-Women
13,rare,printed v-neck polyester womens fit and flare dress - black,"Size:Large,Medium,Small",-6266,959,60% off,Westernwear-Women
14,infuse,printed round neck rayon womens regular fit a-line dress - black,"Size:Large,Medium,Small,X-Large,XX-Large",-6274,519,60% off,Westernwear-Women
15,life,solid round neck single je ey womens t-shirt - mustard,"Size:Large,Medium,Small,X-Large,X-Small",-6282,299,50% off,Westernwear-Women
16,juniper,printed collar neck crepe womens fushion wear jacket - mustard,"Size:Large,Medium,Small,X-Large,X-Small",-6291,569,70% off,Westernwear-Women
17,and,solid polyester round neck womens flared dress - powder blue,"Size:8,10,12,14,16,18",-6299,2479,20% off,Westernwear-Women
18,kraus,flare fit full length cotton blend womens jeans - blue,"Size:28,30,32,34,36",-6307,1326,30% off,Westernwear-Women
19,stop,printed viscose round neck womens regular top - rust,"Size:Large,Medium,Small,X-Large,XX-Large",-6315,499,50% off,Westernwear-Women
20,altlife,printed cotton round neck womens active wear t-shirt - fuschia,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",-6324,199,50% off,Westernwear-Women
21,iti,womens solid flutter sleeves boat neck fit and flare maxi dress - red,"Size:Large,Medium,Small,X-Large,X-Small",-6332,2999,Nan,Westernwear-Women
22,Nan,Nan,Nan,-6340,Nan,Nan,Westernwear-Women
23,madame,solid cotton mandarin womens top - aqua,"Size:Large,Medium,Small,X-Large",-6348,1679,30% off,Westernwear-Women
24,allen solly,printed polyester v-neck womens top - red,"Size:Large,Medium,Small,X-Small,XX-Large",-6357,899,40% off,Westernwear-Women
25,life,printed cotton blend hood womens sweatshirt - pink,"Size:Large,Medium,Small,X-Large,X-Small",-6365,649,50% off,Westernwear-Women
0,life,printed cotton blend hood womens sweatshirt - pink,"Size:Large,Medium,Small,X-Large,X-Small",-6373,649,50% off,Westernwear-Women
1,and,solid polyester round neck womens straight top - sage,"Size:8,10,12,14,16,18",-6381,1519,20% off,Westernwear-Women
2,rare,solid polyester v neck womens a-line dress - navy,"Size:Large,Medium,X-Large",-6390,854,55% off,Westernwear-Women
3,life,solid cotton wide neck womens regular top - white,"Size:Large,Medium,Small,X-Large,X-Small",-6398,599,50% off,Westernwear-Women
4,madame,printed cotton blend square neck womens regular top - off white,"Size:Large,Small,X-Large,XX-Large",-6406,1079,40% off,Westernwear-Women
5,rare,printed v-neck polyester womens fit and flare dress - yellow,"Size:Large,Medium,Small,X-Large",-6415,1079,55% off,Westernwear-Women
6,vero moda,textured round neck cotton womens  dresses - white,"Size:Large,Medium,Small,X-Large,X-Small",-6423,2399,40% off,Westernwear-Women
7,forever new,polka dots round neck viscose womens regular top - print,Size:6,-6431,1600,50% off,Westernwear-Women
8,altlife,printed cotton regular neck womens t-shirt - white,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",-6439,299,50% off,Westernwear-Women
9,altlife,printed cotton round neck womens active wear t-shirt - anthra,"Size:Large,Medium,Small,X-Large,X-Small",-6448,199,50% off,Westernwear-Women
10,cover story,printed round neck poly mesh womens regular dress - pink,"Size:Small,X-Small",-6456,2274,40% off,Westernwear-Women
11,vero moda,stripes viscose blend shirt collar womens casual shirt - pink,"Size:Large,Medium,Small,X-Large,X-Small",-6464,1149,50% off,Westernwear-Women
12,infuse,printed polyester round neck womens regular fit woven top - beige,"Size:Large,Medium,Small,X-Large,XX-Large",-6472,319,60% off,Westernwear-Women
13,life,checks cotton blend square neck womens regular top - blue,"Size:Large,Medium,Small,X-Large,X-Small",-6481,649,50% off,Westernwear-Women
14,infuse,printed cotton round neck womens regular fit t-shirt - yellow,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",-6489,239,70% off,Westernwear-Women
15,zink london,abstract viscose blend v neck womens top - mustard,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",-6497,1019,40% off,Westernwear-Women
16,faballey,polka dots sleeveless georgette womens regular length jumpsuit - pink,"Size:Large,Medium,Small",-6506,1920,20% off,Westernwear-Women
17,spykar,polyester cotton regular fit womens jeans - light blue,"Size:26,28,30,32,34,36",-6514,1609,30% off,Westernwear-Women
18,faballey,solid georgette off shoulder womens regular dress - green,"Size:Small,X-Small",-6522,2240,20% off,Westernwear-Women
19,fratini,embroidered cotton round neck womens t-shirt - lilac,"Size:Large,Medium,Small,X-Large,XX-Large",-6530,599,Nan,Westernwear-Women
20,life,skinny fit ankle length cotton lycra womens jeans - black,"Size:26,28,30,32,36",-6539,499,50% off,Westernwear-Women
21,stop,printed collar neck cotton womens formal wear shirt - navy,"Size:Large,Medium,Small,X-Large,XX-Large",-6547,399,50% off,Westernwear-Women
22,Nan,Nan,Nan,-6555,Nan,Nan,Westernwear-Women
23,and,solid polyester round neck womens straight top - cream,"Size:8,10,12,14,16,18",-6563,1234,35% off,Westernwear-Women
24,kraus,skinny fit ankle length cotton blend womens jeans - light blue,"Size:28,30,32,34",-6572,1326,30% off,Westernwear-Women
25,madame,solid polyester square neck womens top - aqua,"Size:Large,Medium,X-Large,XX-Large",-6580,1189,30% off,Westernwear-Women
0,zink london,printed polyester round neck womens top - green,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",-6588,899,40% off,Westernwear-Women
1,only,tie dye and batik relaxed fit cotton womens casual wear pants - purple,"Size:Large,Medium,Small,X-Large,X-Small",-6597,1619,40% off,Westernwear-Women
2,spykar,cotton lycra regular fit womens jeans - dark blue,"Size:26,28,30,32,34,36",-6605,1609,30% off,Westernwear-Women
3,vero moda,textured cotton blended round neck womens t-shirt - black,"Size:Large,Medium,Small,X-Large,X-Small",-6613,699,30% off,Westernwear-Women
4,and,floral linen v neck womens flared dress - pink,"Size:8,10,12,14,16,18",-6621,2799,20% off,Westernwear-Women
5,stop,solid nr roma regular neck womens regular dress - dusty pink,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",-6630,1999,Nan,Westernwear-Women
6,infuse,skinny fit ankle length cotton lycra womens jeans - mid stone,"Size:26,28,30,32,34,36",-6638,599,60% off,Westernwear-Women
7,faballey,printed lace round neck womens regular dress - purple,Size:Small,-6646,2080,20% off,Westernwear-Women
8,life,fit ankle length denim womens jeans - mid stone,"Size:26,28,30,32,34,36",-6654,849,50% off,Westernwear-Women
9,zink london,solid rayon one shoulder womens top - black,"Size:Large,Medium,Small,X-Large",-6663,899,40% off,Westernwear-Women
10,rare,solid polyester round neck womens a-line dress - navy,"Size:Medium,Small",-6671,809,55% off,Westernwear-Women
11,magre,solid polyester blend regular fit womens casual pants - natural,"Size:Large,Medium,Small",-6679,1434,40% off,Westernwear-Women
12,kraus,clean look cotton relaxed fit womens jeans - blue,"Size:28,30,32,34",-6688,1525,10% off,Westernwear-Women
13,zink london,embroidered cotton round neck womens top - off white,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",-6696,1319,40% off,Westernwear-Women
14,forever new,solid polyester cowl neck womens regular dress - rose,Size:12,-6704,4800,40% off,Westernwear-Women
15,cover story,solid regular fit poly cotton womens trouse  - blue,"Size:26,28,30,32,34",-6712,1194,40% off,Westernwear-Women
16,life,embroidered cotton round neck womens regular t-shirt - navy,"Size:Large,Medium,Small,X-Large,X-Small",-6721,249,50% off,Westernwear-Women
17,zink london,polyester women tiered dress - red,"Size:Small,XX-Large",-6729,1799,60% off,Westernwear-Women
18,iti,solid georgette round neck womens top - red,Size:X-Small,-6737,399,78% off,Westernwear-Women
19,faballey,solid crepe v neck womens regular dress - green,"Size:Medium,Small,X-Small",-6745,1920,20% off,Westernwear-Women
20,and,foil polyester square neck womens top - aqua,"Size:14,16,18",-6754,1619,10% off,Westernwear-Women
21,latin quarte ,dyed v-neck rayon womens regular dress - green,"Size:S,L",-6762,799,60% off,Westernwear-Women
22,Nan,Nan,Nan,-6770,Nan,Nan,Westernwear-Women
23,fratini,embellished cotton round neck womens t-shirt - white,"Size:Large,Medium,Small,X-Large,XX-Large",-6779,899,Nan,Westernwear-Women
24,spykar,cotton slim fit womens jeans - white,"Size:26,28,30,32,34",-6787,1609,30% off,Westernwear-Women
25,only,printed cotton round neck womens t-shirt - green,"Size:Large,Medium,Small,X-Small",-6795,1399,30% off,Westernwear-Women
0,levis,tapered fit regular length cotton womens jeans - indigo,"Size:26,28,30,32,34",-6803,3799,Nan,Westernwear-Women
1,rare,solid polyester round neck womens a-line dress - blue,"Size:Medium,Small",-6812,1079,55% off,Westernwear-Women
2,kraus,checks collar neck rayon womens casual shirt - black,Size:Small,-6820,649,50% off,Westernwear-Women
3,only,all over print cotton round neck womens t-shirt - blue,"Size:Large,Medium,Small,X-Large,X-Small",-6828,749,50% off,Westernwear-Women
4,vero moda,stripes v neck cotton womens casual wear blaze  - blue,"Size:Large,Medium,Small,X-Large,X-Small",-6836,2309,30% off,Westernwear-Women
5,zink london,checks mandarin cotton womens casual shirt - white,"Size:Small,X-Small",-6845,959,40% off,Westernwear-Women
6,latin quarte ,printed v-neck polyester womens regular dress - blue,"Size:S,XX-Large",-6853,2699,Nan,Westernwear-Women
7,zink london,solid cotton v neck womens top - green,"Size:Large,Medium,Small,X-Large,X-Small",-6861,959,40% off,Westernwear-Women
8,vero moda,solid cotton round neck womens casual jacket - black,"Size:Large,Medium,Small,X-Large,X-Small",-6869,2099,30% off,Westernwear-Women
9,rare,printed polyester round neck womens regular fit top - navy,"Size:Large,Medium,Small,X-Large",-6878,599,60% off,Westernwear-Women
10,only,self design cotton collar neck womens top - green,"Size:Large,Medium,Small,X-Large,X-Small",-6886,1259,30% off,Westernwear-Women
11,faballey,textured georgette round neck womens regular dress - black,"Size:Large,Medium,Small,X-Large,X-Small",-6894,1920,20% off,Westernwear-Women
12,forever new,checks polyester square neck womens top - print,"Size:4,6,8,10,12",-6903,2600,35% off,Westernwear-Women
13,zink london,solid square neck polyester womens dresses - pink,"Size:Large,Medium,X-Large",-6911,1149,50% off,Westernwear-Women
14,zink london,floral viscose round neck womens straight top - off white,"Size:Large,Medium,Small,X-Large,X-Small",-6919,899,40% off,Westernwear-Women
15,life,embroidered v-neck viscose womens regular top - off white,"Size:Large,Medium,Small,X-Large,X-Small",-6927,649,50% off,Westernwear-Women
16,allen solly,solid polyester regular neck womens blazer - black,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",-6936,2799,26% off,Westernwear-Women
17,life,printed viscose wide neck womens regular top - navy,"Size:Large,Medium,Small,X-Small",-6944,349,50% off,Westernwear-Women
18,life,printed cotton blend round neck womens top - olive,"Size:Large,Medium,Small,X-Large,X-Small",-6952,399,50% off,Westernwear-Women
19,latin quarte ,solid rayon v neck womens regular dress - green,"Size:S,M,L",-6960,1399,30% off,Westernwear-Women
20,madame,solid cotton round neck womens top - peach,"Size:Large,Medium,Small,X-Large,XX-Large",-6969,1319,40% off,Westernwear-Women
21,only,light wash cotton straight fit womens jeans - blue,"Size:25,26,27,28,29,30,31,32,33,34",-6977,2589,30% off,Westernwear-Women
22,Nan,Nan,Nan,-6985,Nan,Nan,Westernwear-Women
23,rare,floral polyester round neck womens regular top - yellow,"Size:Large,Medium,Small",-6994,539,55% off,Westernwear-Women
24,life,printed cotton blend collar neck womens top - blue,"Size:Large,Medium,Small,X-Large,X-Small",-7002,449,50% off,Westernwear-Women
25,kraus,wide ankle length cotton womens jeans - blue,"Size:28,30,32,34,36",-7010,1256,30% off,Westernwear-Women
0,latin quarte ,solid polyester womens regular dress - black,"Size:S,M,L,XL",-7018,2099,30% off,Westernwear-Women
1,vero moda,solid collared cotton womens  dresses - blue,"Size:Large,Medium,Small,X-Large,X-Small",-7027,2099,30% off,Westernwear-Women
2,fratini,regular fit above knee tencel womens casual shorts - mid stone,"Size:26,28,30,32,34,36",-7035,649,50% off,Westernwear-Women
3,rare,floral polyester square neck womens regular top - black,"Size:Large,Medium,Small",-7043,559,60% off,Westernwear-Women
4,madame,printed cotton blend womens regular top - peach,"Size:Large,Medium,Small,X-Large,XX-Large",-7051,1019,40% off,Westernwear-Women
5,infuse,embroidered cotton round neck womens regular fit t-shirt - peach,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",-7060,239,70% off,Westernwear-Women
6,zink london,womens stripes square neck a-line midi dress - honey,"Size:Large,Medium",-7068,599,80% off,Westernwear-Women
7,cover story,solid cotton spandex round neck womens t-shirt - lavender,"Size:Large,Medium,Small,X-Large,X-Small",-7076,693,30% off,Westernwear-Women
8,fratini,sanya malhotra solid viscose linen boat neck womens jumpsuit - olive,"Size:Large,Medium,Small,X-Large,XX-Large",-7085,1899,Nan,Westernwear-Women
9,fratini,printed polyester blend round neck womens regular top - grey,"Size:Large,Medium,Small,X-Large,XX-Large",-7093,1299,Nan,Westernwear-Women
10,life,solid round neck rayon womens woven top - navy,"Size:Large,Medium,Small,X-Large,X-Small",-7101,649,50% off,Westernwear-Women
11,van heusen,textured polyester round neck womens dress - black,"Size:Large,Medium,Small,X-Large,X-Small",-7109,1499,50% off,Westernwear-Women
12,enamor,cotton blend womens lounge pants - brick,"Size:XL,Large,Medium,Small,XX-Large",-7118,664,30% off,Westernwear-Women
